Item,quantity,Dish,Number of persons,,Item,quantity,Dish ,Number of persons,,,Item,quantity,Dish,Number of Persons,,,,,,
Aaloo,,chai,1,,Aaloo,5,Aaloo chicken Qeema,59,,,Aaloo,6,Chinese Pulao,86,,,,,,
Atta,,,,,Atta,20,,,,,Atta,,,,,,,,,
karahi masala,,,,,Biryani masala,,,,,,Biryani masala,1,,,,,,,,
Channay,,,,,Channay,,,,,,Channay,,,,,,,,,
chicken,,,,,chicken Qema,3,,,,,chicken,2.5,,,,,,,,
chowaray,,,,,chowaray,,,,,,chowaray,,,,,,,,,
knor,,,,,knor,,,,,,knor,3,,,,,,,,
custard,,,,,custard,,,,,,custard,,,,,,,,,
Daal,,,,,Daal,,,,,,shmalia,2.5,,,,,,,,
Dahi,,,,,Dahi,1,,,,,Dahi,13,,,,,,,,
Garm masala,,,,,Garm masala,0.03,,,,,Garm masala,0.05,,,,,,,,
gas cylinder,,,,,gas cylinder,1,,,,,gas cylinder,1,,,,,,,,
"girri sogi,illaichi",,,,,"girri sogi,illaichi",,,,,,"girri sogi,illaichi",,,,,,,,,
Haleem Masala,,,,,Haleem Masala,,,,,,Haleem Masala,,,,,,,,,
Imli,,,,,Imli,,,,,,Imli,0.5,,,,,,,,
kali mirch,,,,,kali mirch,,,,,,kali mirch,,,,,,,,,
Lemon,,,,,mater,,,,,,mater,,,,,,,,,
Kheeray,,,,,Kheeray,,,,,,Kheeray,1,,,,,,,,
milk,0.2,,,,milk,,,,,,milk,,,,,,,,,
Oil,,,,,Oil,2,,,,,Oil,3,,,,,,,,
Pakorian,,,,,Pakorian,,,,,,Pakorian,0.5,,,,,,,,
pissa dhania,,,,,pissa dhania,0.02,,,,,pissa dhania,,,,,,,,,
Piyaaz,,,,,Piyaaz,6.3,,,,,Piyaaz,1.4,,,,,,,,
Podina,,,,,Podina,,,,,,Podina,5,,,,,,,,
red chilli,,,,,red chilli,0.03,,,,,red chilli,0.04,,,,,,,,
rent,,,,,rent,1,,,,,rent,1,,,,,,,,
rice,,,,,rice,,,,,,rice,16,,,,,,,,
saban bartan,,,,,saban bartan,,,,,,saban bartan,,,,,,,,,
Saban hand,,,,,Saban hand,,,,,,Saban hand,,,,,,,,,
sabat dhania,,,,,sabat dhania,0.03,,,,,sabat dhania,0.06,,,,,,,,
Sabz Dhania,,,,,Sabz Dhania,1,,,,,Sabz Dhania,,,,,,,,,
sabz mirch,,,,,sabz mirch,0.17,,,,,sabz mirch,0.17,,,,,,,,
Saraf bunas,,,,,Sabzi,,,,,,Sabzi,,,,,,,,,
salt,,,,,salt,0.05,,,,,salt,0.4,,,,,,,,
semian,,,,,semian,,,,,,lemon,0.5,,,,,,,,
Sirka,,,,,Sirka,,,,,,Sirka,1,,,,,,,,
Tea,0.004,,,,tea patti,,,,,,band gobi,2.5,,,,,,,,
sugar,0.009,,,,sugar,,,,,,sugar,,,,,,,,,
Tamatar,,,,,Tamatar,1.2,,,,,Tamatar,0.69,,,,,,,,
Thoom Adrak,,,,,Thoom Adrak,0.15,,,,,Thoom Adrak,0.2,,,,,,,,
Tissue,,,,,Tissue,,,,,,tea,,,,,,,,,
bulab mess,,,,,saraf bonas,1,,,,,bulab mess,,,,,,,,,
wood,,,,,wood,,,,,,gajar,5,,,,,,,,
zarda rang,,,,,zarda rang,,,,,,zarda rang,,,,,,,,,
Zeera,,,,,Zeera,0.04,,,,,Zeera,0.07,,,,,,,,
store,,,,,store,,,,,,store,,,,,,,,,
egg,,,,,mahthi,0.1,,,,,egg,,,,,,,,,
mandi,,,,,mandi,,,,,,mandi,,,,,,,,,
,,,,,haldi,0.03,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
total,,,,,total,,,,,,total,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Item,quantity,Dish ,Number of Persons
Item,quantity,Dish,Number of persons,,,Item,quantity,Dish,Number of Persons,,,Item,quantity,Dish,Number of persons,,Aaloo,6,Aaloo Chicken Qorma,50
Aaloo,14,Aaloo Paratha,52,,,Aaloo,,Sindhi Biryani,98,,,Aaloo,,Chanay Anda,34,,Atta,20,,
Atta,20,,,,,Atta,,,,,,Atta,17,,,,Biryani masala,,,
Biryani masala,,,,,,Biryani masala,1,,,,,Biryani masala,,,,,Channay,,,
Channay,,,,,,Channay,,,,,,Channay,,,,,chicken,5.25,,
chicken,,,,,,chicken,10,,,,,chicken,,,,,chowaray,,,
chowaray,,,,,,chowaray,,,,,,chowaray,,,,,knor,2,,
knor,,,,,,knor,2,,,,,knor,,,,,custard,,,
custard,,,,,,custard,,,,,,custard,,,,,Daal,,,
Daal,,,,,,Daal,,,,,,Daal,,,,,Dahi,1,,
Dahi,7,,,,,Dahi,15,,,,,Dahi,1,,,,Garm masala,0.04,,
Garm masala,0.03,,,,,Garm masala,0.07,,,,,Garm masala,0.02,,,,gas cylinder,1,,
gas cylinder,1,,,,,gas cylinder,1,,,,,gas cylinder,1,,,,"girri sogi,illaichi",,,
"girri sogi,illaichi",,,,,,"girri sogi,illaichi",,,,,,"girri sogi,illaichi",,,,,Haleem Masala,,,
Haleem Masala,,,,,,Haleem Masala,,,,,,Haleem Masala,,,,,Imli,,,
Imli,,,,,,Imli,0.5,,,,,Imli,,,,,kali mirch,,,
kali mirch,,,,,,kali mirch,,,,,,kali mirch,,,,,Haldi,0.03,,
mater,,,,,,mater,,,,,,Chanay,2,,,,Kheeray,,,
Kheeray,,,,,,Kheeray,1,,,,,Kheeray,,,,,milk,,,
milk,,,,,,milk,,,,,,milk,,,,,Oil,1.5,,
Oil,3,,,,,Oil,4,,,,,Oil,1,,,,Pakorian,,,
Pakorian,,,,,,Pakorian,0.5,,,,,Haldai,0.02,,,,pissa dhania,0.02,,
pissa dhania,,,,,,pissa dhania,,,,,,pissa dhania,0.01,,,,Piyaaz,5.56,,
Piyaaz,,,,,,Piyaaz,5,,,,,Piyaaz,0.8,,,,Podina,,,
Podina,,,,,,Podina,5,,,,,Podina,,,,,red chilli,0.03,,
red chilli,0.07,,,,,red chilli,0.06,,,,,red chilli,0.03,,,,rent,1,,
rent,1,,,,,rent,1,,,,,rent,1,,,,mathi,0.02,,
rice,,,,,,rice,19,,,,,rice,,,,,saban bartan,,,
saban bartan,,,,,,saban bartan,,,,,,saban bartan,,,,,Saban hand,,,
Saban hand,,,,,,Saban hand,,,,,,Saban hand,,,,,sabat dhania,0.02,,
sabat dhania,0.04,,,,,sabat dhania,0.02,,,,,sabat dhania,0.02,,,,Sabz Dhania,1,,
Sabz Dhania,1,,,,,Sabz Dhania,1,,,,,Sabz Dhania,1,,,,sabz mirch,0.14,,
sabz mirch,0.2,,,,,sabz mirch,0.2,,,,,sabz mirch,0.04,,,,Sabzi,,,
Sabzi,,,,,,Sabzi,,,,,,Sabzi,,,,,salt,0.06,,
salt,0.1,,,,,salt,0.46,,,,,salt,0.5,,,,semian,,,
Sugar,,,,,,semian,,,,,,semian,,,,,tea,,,
Sirka,,,,,,Sirka,0.5,,,,,Sirka,,,,,lemon,0.2,,
soya sauce,,,,,,tea patti,,,,,,soya sauce,,,,,sugar,,,
sugar,,,,,,sugar,,,,,,sugar,,,,,Tamatar,1.5,,
Tamatar,,,,,,Tamatar,1.87,,,,,Tamatar,0.63,,,,Thoom Adrak,0.12,,
Thoom Adrak,,,,,,Thoom Adrak,0.22,,,,,Thoom Adrak,0.1,,,,Tissue,,,
Tissue,,,,,,Tissue,,,,,,Tissue,,,,,bulab mess,,,
bulab mess,,,,,,lemon,0.51,,,,,bulab mess,,,,,wood,,,
wood,,,,,,wood,,,,,,wood,,,,,zarda rang,,,
zarda rang,,,,,,zarda rang,1,,,,,zarda rang,,,,,Zeera,0.04,,
Zeera,0.05,,,,,Zeera,0.11,,,,,Zeera,0.03,,,,store,,,
store,,,,,,store,,,,,,store,,,,,egg,,,
egg,,,,,,egg,,,,,,egg,34,,,,mandi,,,
mandi,,,,,,mandi,,,,,,mandi,,,,,,,,
,,,,,,haldi,0.3,,,,,,,,,,,,,
,,,,,,achaar,0.5,,,,,,,,,,total,,,
total,,,,,,total,,,,,,total,,,,,,,,
